percentile_threshold,score_cutoff,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,false_positive_rate
90.0,4.49,28481,443,28038,49,256277,0.0156,0.9004,0.098616
90.25,4.531,27769,443,27326,49,256989,0.016,0.9004,0.096112
90.5,4.578,27057,443,26614,49,257701,0.0164,0.9004,0.093607
90.75,4.623,26345,443,25902,49,258413,0.0168,0.9004,0.091103
91.0,4.668,25633,442,25191,50,259124,0.0172,0.8984,0.088602
91.25,4.715,24921,442,24479,50,259836,0.0177,0.8984,0.086098
91.5,4.762,24209,441,23768,51,260547,0.0182,0.8963,0.083597
91.75,4.807,23497,440,23057,52,261258,0.0187,0.8943,0.081097
92.0,4.853,22785,440,22345,52,261970,0.0193,0.8943,0.078592
92.25,4.905,22073,438,21635,54,262680,0.0198,0.8902,0.076095
92.5,4.956,21361,438,20923,54,263392,0.0205,0.8902,0.073591
92.75,5.013,20649,438,20211,54,264104,0.0212,0.8902,0.071087
93.0,5.071,19937,436,19501,56,264814,0.0219,0.8862,0.068589
93.25,5.132,19225,436,18789,56,265526,0.0227,0.8862,0.066085
93.5,5.195,18512,436,18076,56,266239,0.0236,0.8862,0.063577
93.75,5.262,17801,435,17366,57,266949,0.0244,0.8841,0.06108
94.0,5.319,17088,435,16653,57,267662,0.0255,0.8841,0.058572
94.25,5.383,16377,435,15942,57,268373,0.0266,0.8841,0.056072
94.5,5.448,15665,434,15231,58,269084,0.0277,0.8821,0.053571
94.75,5.522,14953,432,14521,60,269794,0.0289,0.878,0.051074
95.0,5.594,14241,431,13810,61,270505,0.0303,0.876,0.048573
95.25,5.668,13529,430,13099,62,271216,0.0318,0.874,0.046072
95.5,5.753,12817,430,12387,62,271928,0.0335,0.874,0.043568
95.75,5.831,12105,428,11677,64,272638,0.0354,0.8699,0.041071
96.0,5.922,11393,427,10966,65,273349,0.0375,0.8679,0.03857
96.25,6.021,10681,427,10254,65,274061,0.04,0.8679,0.036066
96.5,6.123,9969,427,9542,65,274773,0.0428,0.8679,0.033561
96.75,6.235,9257,426,8831,66,275484,0.046,0.8659,0.031061
97.0,6.38,8545,426,8119,66,276196,0.0499,0.8659,0.028556
97.25,6.528,7833,425,7408,67,276907,0.0543,0.8638,0.026056
97.5,6.701,7121,425,6696,67,277619,0.0597,0.8638,0.023551
97.75,6.898,6409,423,5986,69,278329,0.066,0.8598,0.021054
98.0,7.121,5697,421,5276,71,279039,0.0739,0.8557,0.018557
98.25,7.393,4985,420,4565,72,279750,0.0843,0.8537,0.016056
98.5,7.742,4273,420,3853,72,280462,0.0983,0.8537,0.013552
98.75,8.158,3561,418,3143,74,281172,0.1174,0.8496,0.011055
99.0,8.707,2849,417,2432,75,281883,0.1464,0.8476,0.008554
99.25,9.579,2137,415,1722,77,282593,0.1942,0.8435,0.006057
99.5,11.279,1425,406,1019,86,283296,0.2849,0.8252,0.003584
99.75,15.38,713,365,348,127,283967,0.5119,0.7419,0.001224
99.9,23.843,285,234,51,258,284264,0.8211,0.4756,0.000179
99.95,36.845,143,120,23,372,284292,0.8392,0.2439,8.1e-05
99.99,60.907,29,29,0,463,284315,1.0,0.0589,0.0
