row_id,amount,class,anomaly_score
1,149.62,0,1.2277
2,2.69,0,1.4908
3,378.66,0,1.5496
4,123.5,0,1.2052
5,69.99,0,2.648
6,3.67,0,0.9266
7,4.99,0,0.4233
8,40.8,0,4.0868
9,93.2,0,1.095
10,3.68,0,2.1877
11,7.8,0,2.6466
12,9.99,0,1.8087
13,121.5,0,2.758
14,27.5,0,1.0861
15,58.8,0,2.8349
16,15.99,0,2.864
17,12.99,0,1.6825
18,0.89,0,2.2358
19,46.8,0,2.5199
20,5.0,0,2.6264
21,231.71,0,2.7552
22,34.09,0,2.5174
23,2.28,0,3.0349
24,22.75,0,2.2193
25,0.89,0,1.7991
26,26.43,0,0.6205
27,41.88,0,1.6385
28,16.0,0,1.3688
29,33.0,0,1.9949
30,12.99,0,1.3038
31,17.28,0,1.0036
32,4.45,0,1.388
33,6.14,0,1.7478
34,6.14,0,1.7478
35,1.77,0,1.7478
36,1.77,0,1.7478
37,30.49,0,0.9014
38,1.8,0,2.6226
39,20.53,0,3.0224
40,6.54,0,1.6931
41,29.89,0,1.2702
42,2.35,0,3.2782
43,14.8,0,1.4168
44,9.1,0,2.8622
45,15.99,0,2.0391
46,21.34,0,1.9638
47,18.95,0,2.0179
48,9.99,0,1.544
49,30.9,0,2.2904
50,20.22,0,1.6253
51,0.99,0,2.184
52,1402.95,0,0.7284
53,7.99,0,1.8276
54,2.09,0,0.4469
55,0.99,0,0.8467
56,21.76,0,1.4695
57,120.96,0,3.1946
58,13.84,0,1.0007
59,13.84,0,1.3399
60,2.67,0,1.4535
61,169.05,0,1.3017
62,96.94,0,1.3424
63,34.13,0,2.4956
64,32.51,0,1.2572
65,243.66,0,1.3724
66,21.55,0,2.0839
67,59.9,0,1.9127
68,0.75,0,2.3382
69,45.71,0,2.9277
70,35.0,0,3.5979
71,67.97,0,1.3962
72,11.45,0,0.4074
73,3.63,0,1.0575
74,21.66,0,1.1644
75,26.72,0,3.0581
76,13.18,0,1.8787
77,59.99,0,1.6341
78,135.51,0,2.2693
79,9.79,0,1.9446
80,14.8,0,1.638
81,1.98,0,1.1234
82,6.67,0,1.0319
83,1.46,0,10.8978
84,89.17,0,2.1881
85,7.53,0,1.5108
86,200.01,0,3.1558
87,0.76,0,2.4635
88,20.22,0,1.5143
89,10.84,0,1.6714
90,1142.02,0,0.5952
91,149.9,0,2.3227
92,89.4,0,1.0423
93,26.72,0,1.6311
94,5.99,0,1.0338
95,34.7,0,0.9752
96,54.99,0,1.9466
97,7.55,0,1.9217
98,19.85,0,1.01
99,28.28,0,2.2325
100,15.99,0,1.0178
101,2.69,0,1.4863
102,22.36,0,1.5677
103,0.78,0,7.2714
104,168.56,0,0.7203
105,0.76,0,3.901
106,9.47,0,3.8715
107,21.8,0,2.4707
108,14.48,0,0.9903
109,1.0,0,8.049
110,1.0,0,1.351
111,70.6,0,3.0604
112,19.77,0,1.4094
113,1.18,0,2.6058
114,1.18,0,2.6058
115,1.18,0,2.6058
116,1.18,0,2.6058
117,81.13,0,3.4556
118,50.0,0,1.4028
119,86.43,0,1.4468
120,11.83,0,4.0039
121,49.95,0,2.0049
122,9.12,0,0.9847
123,104.94,0,2.0977
124,4.68,0,1.7598
125,62.92,0,1.3352
126,18.31,0,1.4385
127,80.0,0,0.8432
128,32.51,0,1.8296
129,39.95,0,0.8843
130,68.74,0,1.4105
131,79.0,0,1.1526
132,5.9,0,2.2895
133,7.69,0,6.6896
134,79.91,0,1.1243
135,552.18,0,4.8041
136,67.3,0,1.3299
137,21.97,0,3.2892
138,4.99,0,1.4746
139,11.99,0,1.6314
140,124.67,0,1.4711
141,919.6,0,1.623
142,30.9,0,1.4465
143,459.39,0,1.0163
144,37.13,0,0.636
145,1.98,0,1.1417
146,15.89,0,2.223
147,8.95,0,9.6569
148,268.78,0,1.0516
149,2.99,0,1.2029
150,322.44,0,0.9134
151,937.69,0,3.5999
152,69.0,0,2.4785
153,2.28,0,1.0757
154,7.21,0,3.2973
155,1.29,0,1.2551
156,17.8,0,1.5525
157,14.98,0,1.7317
158,159.0,0,1.033
159,142.71,0,1.0779
160,84.39,0,0.6758
161,182.95,0,1.4377
162,23.27,0,4.3095
163,9.99,0,2.2564
164,4.19,0,1.4098
165,3828.04,0,3.7687
166,35.97,0,0.9452
167,1.0,0,1.274
168,24.57,0,0.546
169,1.0,0,3.4638
170,148.43,0,1.0937
171,25.8,0,1.3703
172,110.4,0,1.9935
173,13.95,0,3.5336
174,9.99,0,1.7242
175,937.69,0,3.085
176,54.99,0,1.5823
177,31.17,0,1.72
178,23.88,0,0.4051
179,4.49,0,1.7698
180,137.0,0,2.6632
181,37.89,0,3.1118
182,82.29,0,3.0348
183,2.69,0,0.7982
184,20.0,0,1.7325
185,29.99,0,1.4777
186,40.0,0,2.2464
187,160.86,0,1.064
188,8.93,0,1.4595
189,6.24,0,1.3898
190,230.0,0,1.2723
191,43.71,0,7.7821
192,165.55,0,1.5297
193,113.0,0,2.977
194,1.54,0,1.3495
195,10.0,0,1.7289
196,8.8,0,2.7513
197,5.97,0,1.1442
198,15.93,0,1.9075
199,10.0,0,1.6251
200,3.87,0,1.2733
201,10.0,0,1.9012
202,35.97,0,1.3187
203,22.37,0,1.3023
204,4.57,0,0.8175
205,23.57,0,1.6651
206,13.99,0,3.0
207,226.07,0,1.0998
208,148.81,0,0.6605
209,58.0,0,1.962
210,1.29,0,2.137
211,65.0,0,3.7382
212,11.0,0,3.6408
213,257.3,0,3.7484
214,169.0,0,0.9623
215,9.9,0,1.0577
216,9.99,0,2.0787
217,4.9,0,1.5658
218,39.95,0,2.5167
219,15.36,0,3.6594
220,9.9,0,2.0369
221,6.0,0,2.4602
222,6.0,0,2.4602
223,6.74,0,2.4596
224,6.74,0,2.4596
225,170.43,0,1.8986
226,0.89,0,15.7921
227,0.89,0,1.4902
228,614.87,0,1.7038
229,22.99,0,1.2344
230,71.26,0,1.7882
231,127.69,0,1.3841
232,1.98,0,1.8077
233,6.45,0,1.4319
234,1.29,0,1.8203
235,184.31,0,1.7334
236,500.0,0,2.4191
237,10.0,0,2.0484
238,1.79,0,1.4158
239,10.0,0,2.5034
240,20.0,0,1.2829
241,700.0,0,2.569
242,22.0,0,3.5283
243,2.28,0,0.8803
244,65.26,0,1.8139
245,0.99,0,1.8632
246,1.0,0,4.6823
247,44.2,0,1.8611
248,5.42,0,3.5492
249,42.9,0,1.9863
250,355.51,0,1.9558
251,0.89,0,1.9009
252,71.69,0,2.6814
253,2.29,0,1.3828
254,1.29,0,0.7376
255,27.99,0,0.5753
256,23.63,0,3.5341
257,48.0,0,2.8185
258,318.5,0,1.4321
259,6.47,0,1.5016
260,224.97,0,1.6533
261,75.83,0,2.2528
262,1.98,0,2.0106
263,1.98,0,1.4482
264,4.65,0,2.0901
265,23.32,0,1.1202
266,8.09,0,2.5381
267,82.29,0,2.0513
268,99.95,0,1.852
269,20.0,0,0.9337
270,127.75,0,1.2309
271,20.7,0,0.3833
272,1.79,0,3.5576
273,37.2,0,1.0762
274,1.0,0,2.8126
275,32.77,0,2.7202
276,5.99,0,1.1551
277,0.89,0,1.519
278,63.9,0,2.2589
279,6.45,0,1.4231
280,61.18,0,2.8528
281,9.99,0,2.2637
282,196.7,0,2.8459
283,79.0,0,2.4056
284,137.3,0,2.3166
285,39.94,0,2.1723
286,1.98,0,2.6237
287,12.99,0,2.1679
288,153.91,0,0.7665
289,101.0,0,3.4438
